LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
4717613.833228,1564368.000,48418,5,PG,1,100,3576
4717613.833228,1564368.000,48418,5,PG,1,100,3631
4717613.833228,1564368.000,48418,5,PG,1,100,3579
4717613.833228,1564368.000,48418,5,PG,1,100,3610
4717613.833228,1564368.000,48418,5,PG,1,100,3610
4717613.842955,1564377.727,48432,11,PG,1,100,3625
4717613.852682,1564387.455,48432,11,PG,1,100,3579
4717613.862410,1564397.182,48432,11,PG,1,100,3601
4717613.872137,1564406.909,48432,11,PG,1,100,3585
4717613.881864,1564416.636,48432,11,PG,1,100,3593
4717613.891592,1564426.364,48432,11,PG,1,100,3625
4717613.901319,1564436.091,48432,11,PG,1,100,3634
4717613.911047,1564445.818,48432,11,PG,1,100,3607
4717613.920774,1564455.545,48432,11,PG,1,100,3591
4717613.930501,1564465.273,48432,11,PG,1,100,3583
4717613.940229,1564475.000,48432,11,PG,1,100,3603
4717613.950562,1564485.333,48449,9,PG,1,100,3595
4717613.960896,1564495.667,48449,9,PG,1,100,3613
4717613.971229,1564506.000,48449,9,PG,1,100,3598
4717613.981563,1564516.333,48449,9,PG,1,100,3615
4717613.991896,1564526.667,48449,9,PG,1,100,3598
4717614.002229,1564537.000,48449,9,PG,1,100,3588
4717614.012563,1564547.333,48449,9,PG,1,100,3601
4717614.022896,1564557.667,48449,9,PG,1,100,3578
4717614.033230,1564568.000,48449,9,PG,1,100,3588
4717614.042957,1564577.727,48465,11,PG,1,100,3588
4717614.052685,1564587.455,48465,11,PG,1,100,3610
4717614.062412,1564597.182,48465,11,PG,1,100,3633
4717614.072139,1564606.909,48465,11,PG,1,100,3591
4717614.081867,1564616.636,48465,11,PG,1,100,3593
4717614.091594,1564626.364,48465,11,PG,1,100,3597
4717614.101321,1564636.091,48465,11,PG,1,100,3598
4717614.111049,1564645.818,48465,11,PG,1,100,3593
4717614.120776,1564655.545,48465,11,PG,1,100,3608
4717614.130504,1564665.273,48465,11,PG,1,100,3595
4717614.140231,1564675.000,48465,11,PG,1,100,3583
4717614.150931,1564685.700,48484,10,PG,1,100,3616
4717614.161631,1564696.400,48484,10,PG,1,100,3610
4717614.172331,1564707.100,48484,10,PG,1,100,3586
4717614.183031,1564717.800,48484,10,PG,1,100,3570
4717614.193731,1564728.500,48484,10,PG,1,100,3587
4717614.204432,1564739.200,48484,10,PG,1,100,3593
4717614.215132,1564749.900,48484,10,PG,1,100,3615
4717614.225832,1564760.600,48484,10,PG,1,100,3589
4717614.236532,1564771.300,48484,10,PG,1,100,3571
4717614.247232,1564782.000,48484,10,PG,1,100,3611
4717614.257565,1564792.333,48498,9,PG,1,100,3611
4717614.267899,1564802.667,48498,9,PG,1,100,3580
4717614.278232,1564813.000,48498,9,PG,1,100,3586
4717614.288566,1564823.333,48498,9,PG,1,100,3616
4717614.298899,1564833.667,48498,9,PG,1,100,3593
4717614.309233,1564844.000,48498,9,PG,1,100,3575
4717614.319566,1564854.333,48498,9,PG,1,100,3598
4717614.329900,1564864.667,48498,9,PG,1,100,3602
4717614.340233,1564875.000,48498,9,PG,1,100,3596
4717614.349960,1564884.727,48514,11,PG,1,100,3608
4717614.359688,1564894.455,48514,11,PG,1,100,3581
4717614.369415,1564904.182,48514,11,PG,1,100,3593
4717614.379143,1564913.909,48514,11,PG,1,100,3596
4717614.388870,1564923.636,48514,11,PG,1,100,3626
4717614.398597,1564933.364,48514,11,PG,1,100,3572
4717614.408325,1564943.091,48514,11,PG,1,100,3607
4717614.418052,1564952.818,48514,11,PG,1,100,3633
4717614.427779,1564962.545,48514,11,PG,1,100,3622
4717614.437507,1564972.273,48514,11,PG,1,100,3580
4717614.447234,1564982.000,48514,11,PG,1,100,3608
4717614.456962,1564991.727,48531,11,PG,1,100,3617
4717614.466689,1565001.455,48531,11,PG,1,100,3598
4717614.476416,1565011.182,48531,11,PG,1,100,3592
4717614.486144,1565020.909,48531,11,PG,1,100,3605
4717614.495871,1565030.636,48531,11,PG,1,100,3597
4717614.505598,1565040.364,48531,11,PG,1,100,3595
4717614.515326,1565050.091,48531,11,PG,1,100,3611
4717614.525053,1565059.818,48531,11,PG,1,100,3607
4717614.534781,1565069.545,48531,11,PG,1,100,3585
4717614.544508,1565079.273,48531,11,PG,1,100,3588
4717614.554235,1565089.000,48531,11,PG,1,100,3594
4717614.564569,1565099.333,48547,9,PG,1,100,3623
4717614.574902,1565109.667,48547,9,PG,1,100,3597
4717614.585236,1565120.000,48547,9,PG,1,100,3634
4717614.595569,1565130.333,48547,9,PG,1,100,3578
4717614.605903,1565140.667,48547,9,PG,1,100,3606
4717614.616236,1565151.000,48547,9,PG,1,100,3609
4717614.626569,1565161.333,48547,9,PG,1,100,3593
4717614.636903,1565171.667,48547,9,PG,1,100,3581
4717614.647236,1565182.000,48547,9,PG,1,100,3588
4717614.657836,1565192.600,48561,10,PG,1,100,3616
4717614.668437,1565203.200,48561,10,PG,1,100,3567
4717614.679037,1565213.800,48561,10,PG,1,100,3601
4717614.689637,1565224.400,48561,10,PG,1,100,3551
4717614.700237,1565235.000,48561,10,PG,1,100,3593
4717614.710837,1565245.600,48561,10,PG,1,100,3568
4717614.721437,1565256.200,48561,10,PG,1,100,3602
4717614.732037,1565266.800,48561,10,PG,1,100,3584
4717614.742637,1565277.400,48561,10,PG,1,100,3593
4717614.753237,1565288.000,48561,10,PG,1,100,3565
4717614.762965,1565297.727,48579,11,PG,1,100,3612
4717614.772692,1565307.455,48579,11,PG,1,100,3593
4717614.782420,1565317.182,48579,11,PG,1,100,3600
4717614.792147,1565326.909,48579,11,PG,1,100,3600
4717614.801874,1565336.636,48579,11,PG,1,100,3606
4717614.811602,1565346.364,48579,11,PG,1,100,3564
4717614.821329,1565356.091,48579,11,PG,1,100,3614
4717614.831057,1565365.818,48579,11,PG,1,100,3617
4717614.840784,1565375.545,48579,11,PG,1,100,3601
4717614.850511,1565385.273,48579,11,PG,1,100,3589
4717614.860239,1565395.000,48579,11,PG,1,100,3588
4717614.870572,1565405.333,48594,9,PG,1,100,3581
4717614.880906,1565415.667,48594,9,PG,1,100,3614
4717614.891239,1565426.000,48594,9,PG,1,100,3615
4717614.901572,1565436.333,48594,9,PG,1,100,3595
4717614.911906,1565446.667,48594,9,PG,1,100,3589
4717614.922239,1565457.000,48594,9,PG,1,100,3592
4717614.932573,1565467.333,48594,9,PG,1,100,3589
4717614.942906,1565477.667,48594,9,PG,1,100,3596
4717614.953240,1565488.000,48594,9,PG,1,100,3556
4717614.962967,1565497.727,48613,11,PG,1,100,3578
